Date,Open,High,Low,Close,Adj Close,Volume
2017-10-10,106.599998,110.010002,106.599998,109.589996,104.364296,56290
2017-10-11,108.400002,108.879997,104.800003,106.849998,101.754967,49510
2017-10-12,107.379997,109.000000,107.099998,108.750000,103.564346,34630
2017-10-13,109.129997,109.949997,108.180000,108.720001,103.535797,19140
2017-10-16,108.580002,110.809998,108.400002,109.180000,103.973862,47130
2017-10-17,110.080002,110.400002,108.800003,108.800003,103.611977,28835
2017-10-18,108.879997,110.199997,107.839996,108.430000,103.259621,69310
2017-10-19,108.400002,109.580002,108.400002,108.989998,103.792915,10335
2017-10-23,108.989998,109.480003,108.199997,108.650002,103.469124,40365
2017-10-24,108.199997,108.989998,107.260002,108.320000,103.154861,18215
2017-10-25,108.849998,108.970001,107.220001,107.870003,102.726326,28655
2017-10-26,108.000000,108.370003,106.480003,106.739998,101.650215,11130
2017-10-27,107.820000,108.650002,107.260002,107.660004,102.526344,21995
2017-10-30,107.660004,108.849998,106.720001,107.500000,102.373970,73855
2017-10-31,107.779999,108.139999,106.820000,107.309998,102.193031,16325
2017-11-01,107.809998,108.400002,104.599998,106.570000,101.488312,13910
2017-11-02,107.870003,108.739998,106.040001,107.290001,102.173988,21095
2017-11-03,107.349998,108.599998,106.400002,106.790001,101.697823,36170
2017-11-06,107.980003,109.680000,107.050003,108.699997,103.516739,56935
2017-11-07,109.599998,111.199997,105.440002,108.930000,103.735764,174090
2017-11-08,110.400002,111.000000,108.190002,108.919998,103.726257,382205
2017-11-09,109.620003,110.000000,107.000000,108.230003,103.069153,20570
2017-11-10,107.019997,109.000000,106.000000,106.500000,101.421654,67770
2017-11-13,106.339996,106.879997,104.320000,104.849998,99.850319,27075
2017-11-14,104.669998,106.760002,104.669998,104.959999,99.955078,35470
2017-11-15,108.820000,110.169998,106.220001,107.169998,102.059700,124015
2017-11-16,107.199997,107.199997,104.410004,105.699997,100.659798,26315
2017-11-17,105.580002,106.980003,105.250000,105.830002,100.783607,28085
2017-11-20,106.080002,106.389999,105.389999,106.120003,101.059776,18720
2017-11-21,105.980003,106.599998,105.599998,105.839996,100.793114,17850
2017-11-22,106.000000,106.290001,104.199997,105.160004,100.145546,35970
2017-11-23,106.180000,108.879997,105.580002,106.589996,101.507355,307305
2017-11-24,108.800003,109.000000,106.989998,107.820000,102.678696,37730
2017-11-27,109.000000,109.309998,105.400002,105.830002,100.783607,40125
2017-11-28,106.349998,106.500000,102.839996,103.580002,98.640892,61380
2017-11-29,105.129997,105.180000,103.599998,104.459999,99.478928,671930
2017-11-30,104.250000,105.800003,103.510002,104.779999,99.783661,221380
2017-12-01,110.000000,110.000000,104.419998,105.199997,100.183624,127550
2017-12-04,105.930000,106.389999,102.410004,103.690002,98.745636,98915
2017-12-05,106.199997,106.550003,103.199997,104.080002,99.117058,616220
2017-12-06,104.199997,104.599998,103.400002,104.000000,99.040855,21000
2017-12-07,103.949997,104.489998,103.120003,103.839996,98.888489,36380
2017-12-08,103.769997,104.800003,99.800003,101.470001,96.631500,66830
2017-12-11,101.000000,104.410004,100.599998,102.610001,97.717148,304745
2017-12-12,103.209999,104.000000,100.290001,100.669998,95.869637,294165
2017-12-13,102.949997,104.669998,101.419998,103.510002,98.574226,150665
2017-12-14,104.379997,106.000000,103.000000,105.339996,100.316956,89910
2017-12-15,106.000000,106.300003,104.300003,104.849998,99.850319,25240
2017-12-18,104.400002,107.959999,102.000000,107.150002,102.040657,97940
2017-12-19,107.300003,108.099998,106.000000,106.830002,101.735916,52555
2017-12-20,106.339996,107.800003,106.220001,107.440002,102.316833,119230
2017-12-21,108.000000,114.160004,108.000000,112.690002,107.316490,275815
2017-12-22,113.629997,115.849998,110.010002,110.470001,105.202347,75765
2017-12-26,111.000000,111.779999,108.629997,108.980003,103.783394,49860
2017-12-27,109.199997,110.000000,108.220001,108.779999,103.592934,52285
2017-12-28,109.000000,109.199997,108.000000,108.529999,103.354851,66705
2017-12-29,108.699997,109.000000,107.400002,108.580002,103.402466,82265
2018-01-01,110.000000,110.540001,107.529999,107.830002,102.688232,86540
2018-01-02,108.800003,108.800003,106.639999,106.940002,101.840675,29890
2018-01-03,107.800003,107.830002,106.910004,107.339996,102.221603,59565
2018-01-04,107.559998,109.150002,107.050003,108.570000,103.392944,103395
2018-01-05,109.000000,110.989998,109.000000,110.279999,105.021400,101065
2018-01-08,111.790001,113.000000,111.480003,112.190002,106.840340,78595
2018-01-09,112.099998,113.199997,110.199997,110.910004,105.621361,39430
2018-01-10,111.699997,111.699997,108.029999,108.699997,103.516739,62100
2018-01-11,110.099998,110.680000,108.419998,110.110001,104.859505,75230
2018-01-12,108.919998,110.709999,108.919998,109.510002,104.288109,61245
2018-01-15,110.360001,110.360001,108.419998,109.070000,103.869102,47745
2018-01-16,109.139999,109.599998,106.230003,106.750000,101.659737,34620
2018-01-17,110.000000,111.389999,108.260002,109.430000,104.211937,201300
2018-01-18,110.779999,112.739998,107.330002,107.589996,102.459663,114960
2018-01-19,107.099998,109.349998,106.940002,108.540001,103.364372,75070
2018-01-22,110.000000,111.279999,107.860001,109.940002,104.697617,35915
2018-01-23,110.480003,112.000000,110.089996,111.230003,105.926109,75480
2018-01-24,110.529999,112.209999,109.059998,110.690002,105.411850,41655
2018-01-25,110.459999,111.389999,108.050003,109.470001,104.250038,36095
2018-01-29,109.599998,110.599998,106.989998,107.730003,102.592995,64580
2018-01-30,104.000000,104.889999,101.800003,103.250000,98.326637,125770
2018-01-31,103.309998,104.599998,102.400002,103.800003,98.850395,30845
2018-02-01,103.029999,104.120003,100.500000,103.510002,98.574226,446630
2018-02-02,101.610001,103.599998,101.000000,102.150002,97.279076,60590
2018-02-05,101.000000,104.199997,97.000000,101.870003,97.012421,42680
2018-02-06,98.660004,101.629997,97.220001,100.930000,96.117249,15775
